indicativo_id,indicativo
1,0255B
2,5612B
3,3094B
4,9394X
5,B434X
6,8293X
7,2755X
8,2400E
9,8500A
10,C249I
11,2462
12,9001D
13,5047E
14,9563X
15,4358X
16,1387E
17,1212E
18,0016A
19,C447A
20,9434
21,6293X
22,5038X
23,5972X
24,2235U
25,3260B
26,9051
27,0367
28,3175
29,6001
30,9981A
31,6084X
32,5246
33,1183X
34,9720X
35,7178I
36,9771C
37,4067
38,3365A
39,0149X
40,9784P
41,3463X
42,5641X
43,6156X
44,C459Z
45,9019B
46,5995B
47,C839I
48,7096B
49,0252D
50,9262
51,1208H
52,5427X
53,1631E
54,1700X
55,C029O
56,2298
57,5514
58,9390
59,7119B
60,4220X
61,5192
62,1221D
63,9201K
64,8058X
65,1111
66,6325O
67,1014
68,1002Y
69,3111D
70,6058I
71,0324A
72,8325X
73,4148
74,1159
75,6000A
76,4452
77,C629X
78,1283U
79,4244X
80,2630X
81,4410X
82,9263D
83,1690A
84,9898
85,1111X
86,3576X
87,2946X
88,7012C
89,5270B
90,4642E
91,0229I
92,C139E
93,9170
94,1082
95,3168D
96,4560Y
97,7275C
98,4103X
99,9698U
100,9576C
101,2503X
102,1351
103,8414A
104,5270
105,3200
106,7031
107,9434P
108,1014A
109,B691Y
110,4549Y
111,4267X
112,9987P
113,2737E
114,9111
115,C429I
116,3391
117,2539
118,9091R
119,1059X
120,C619I
121,6302A
122,5860E
123,B013X
124,1484C
125,8175
126,2661
127,3195
128,9263X
129,8416Y
130,5390Y
131,2916A
132,2775X
133,2374X
134,3013
135,1387
136,2811A
137,3434X
138,8523X
139,B228
140,9091O
141,5973
142,3196
143,6155A
144,7247X
145,1041A
146,1475X
147,3130C
148,1437O
149,3191E
150,B278
151,5402
152,9619
153,1495
154,5796
155,7228
156,4511C
157,6332X
158,6106X
159,6205X
160,1078I
161,3526X
162,5910
163,B893
164,0076
165,1024E
166,7002Y
167,1037Y
168,9990X
169,C129Z
170,3338
171,C689E
172,3168C
173,2150H
174,8368U
175,7209
176,1109
177,3044X
178,4147X
179,1210X
180,B346X
181,2465
182,3100B
183,2870
184,C929I
185,C649I
186,2331
187,0200E
188,1249X
189,5298X
190,5911A
191,5704B
192,1055B
193,9381I
194,8178D
195,1428
196,4386B
197,2117D
198,3519X
199,8309X
200,B248
201,3194U
202,1400
203,5960
204,2614
205,3298X
206,2491C
207,1057B
208,6367B
209,B569X
210,2422
211,5530E
212,B954
213,2867
214,2030
215,8025
216,7031X
217,1050J
218,7145D
219,1393
220,9294E
221,2444
222,4121
223,9585
224,3129
225,8416
226,5000C
227,5582A
228,C329Z
229,1505
230,1249I
231,8019
232,1549
233,8096
234,5783
235,C430E
236,1542
237,3469A
238,B860X
239,B644B
240,B301
241,B496X
242,B780X
243,B760X
244,B236C
245,B362X
246,B614E
247,B087X
248,B334X
249,B605X
250,B158X
251,B691
252,B373X
253,B526X
254,B684A
255,B603X
256,B800X
257,B662X
258,B825B
259,C019V
260,C329B
261,C018J
262,C314Z
263,C117A
264,C248E
265,B908X
266,C328W
267,C117Z
268,C317B
269,C038N
270,C428T
271,C239N
272,C258K
273,C129V
274,C319W
275,C048W
276,C406G
277,C419X
278,C126A
279,C148F
280,C839X
281,C629Q
282,0106X
283,0034X
284,C649R
285,C656V
286,C917E
287,C458A
288,C658L
289,C446G
290,C648N
291,C939T
292,0120X
293,C635B
294,C639U
295,0092X
296,C658X
297,0016B
298,0061X
299,C648C
300,C619Y
301,C611E
302,0009X
303,C628B
304,C639M
305,C625O
306,0066X
307,0042Y
308,C619X
309,0114X
310,C623I
311,C916Q
312,C457I
313,C669B
314,C925F
315,C612F
316,0073X
317,C438N
318,C449F
319,C665T
320,0421X
321,1074C
322,0222X
323,1064L
324,1021X
325,1060X
326,0421E
327,0244X
328,1135C
329,0312X
330,0281Y
331,1044X
332,1010X
333,1048X
334,1037X
335,0321
336,0429X
337,1012P
338,1124E
339,1069Y
340,0149D
341,0194D
342,1056K
343,1025X
344,1038X
345,0370E
346,0360X
347,0260X
348,1096X
349,0294B
350,0158O
351,1167B
352,1109X
353,0158X
354,0411X
355,1154H
356,0284X
357,0363X
358,0394X
359,0385X
360,0320I
361,1021Y
362,1078C
363,1033X
364,1052A
365,1026X
366,1049N
367,0341
368,1354C
369,1477V
370,1541B
371,1390X
372,1521X
373,1234P
374,1279X
375,1406X
376,1561I
377,1226X
378,1476R
379,1521I
380,1455I
381,1342X
382,1477U
383,1174I
384,1302F
385,1639X
386,1410X
387,1468X
388,1466A
389,1496X
390,1179B
391,1583X
392,1399
393,1309C
394,1347T
395,1435C
396,1387D
397,1489A
398,1465U
399,1276F
400,1176A
401,1341B
402,1272B
403,1186P
404,1297E
405,1223P
406,1327A
407,1203D
408,1518A
409,1363X
410,1178Y
411,1446X
412,1442U
413,1344X
414,1199X
415,2182C
416,2453E
417,1679A
418,2048A
419,2401X
420,2084Y
421,1701X
422,1740
423,2106B
424,2482B
425,1730E
426,2017Y
427,1719
428,1706A
429,2044B
430,2135A
431,1738U
432,2192C
433,2456B
434,2503B
435,2471Y
436,2059B
437,2296A
438,1696O
439,2166Y
440,1658
441,2092
442,2172Y
443,2302N
444,2005Y
445,2430Y
446,2362C
447,2243A
448,1723X
449,2140A
450,2096B
451,2885K
452,2918Y
453,2624C
454,2945A
455,2978X
456,2847X
457,2664B
458,2517A
459,2611D
460,2742R
461,2568D
462,2789H
463,2828Y
464,2863C
465,2626Y
466,2966D
467,2891A
468,2507Y
469,2926B
470,2512Y
471,2930Y
472,2604B
473,3085Y
474,2536D
475,2873X
476,2555B
477,2969U
478,2593D
479,3099Y
480,2766E
481,2701D
482,2777K
483,2804F
484,2734D
485,3040Y
486,2914C
487,2728B
488,3343Y
489,3536X
490,3194Y
491,3125Y
492,3386A
493,3565X
494,3362Y
495,3126Y
496,3245Y
497,3182Y
498,3305Y
499,3268C
500,3337U
501,3254Y
502,3229Y
503,3547X
504,3503
505,3475X
506,3103
507,3436D
508,3422D
509,3170Y
510,3562X
511,3516X
512,3531X
513,3104Y
514,3504X
515,3319D
516,3448X
517,3330Y
518,3423I
519,3540X
520,3427Y
521,3494U
522,3140Y
523,3512X
524,3455X
525,3514B
526,4520X
527,4347X
528,4064Y
529,4091Y
530,4499X
531,4095Y
532,4411C
533,4489X
534,4051Y
535,4193Y
536,4236Y
537,4486X
538,4427X
539,4478X
540,4138Y
541,4300Y
542,4116I
543,4245X
544,4075Y
545,4260
546,4340
547,4210Y
548,4464X
549,4007Y
550,4263X
551,4339X
552,4395X
553,4527X
554,4093Y
555,4497X
556,4468X
557,4501X
558,4089A
559,4096Y
560,4436Y
561,5612X
562,5702X
563,5165X
564,5429X
565,5515X
566,5459X
567,5361X
568,5625X
569,4608X
570,4589X
571,4575X
572,5346X
573,4554X
574,5473X
575,5304Y
576,4541X
577,5598X
578,5394X
579,5060X
580,5406X
581,5279X
582,5038Y
583,5281X
584,5470
585,5656
586,5341C
587,5412X
588,4622X
589,5210X
590,5654X
591,4584X
592,5624X
593,6143X
594,6040X
595,6088X
596,6069X
597,6281X
598,6258X
599,6201X
600,6032X
601,6172X
602,6042I
603,5726X
604,5891X
605,5790Y
606,6213X
607,6050X
608,6268Y
609,5858X
610,5919X
611,5906X
612,6056X
613,6045X
614,6127X
615,5769X
616,6175X
617,5733X
618,5950X
619,6057X
620,5835X
621,5996B
622,5983X
623,6100B
624,6267X
625,5941X
626,6272X
627,6083X
628,6076X
629,5998X
630,7072Y
631,6307X
632,7026X
633,6375X
634,7023X
635,6364X
636,7066Y
637,6291B
638,6329X
639,6340X
640,7121A
641,7227X
642,7195X
643,8008Y
644,7244X
645,7172X
646,7203A
647,7237E
648,8013X
649,7158X
650,7261X
651,7080X
652,7211B
653,7138B
654,7103Y
655,7127X
656,8018X
657,8270X
658,8376
659,8300X
660,8354X
661,8245Y
662,8381X
663,8337X
664,8059C
665,8193E
666,8395X
667,8283X
668,8057C
669,8072Y
670,8058Y
671,8084Y
672,8036Y
673,8210Y
674,8198Y
675,8155Y
676,8492X
677,8446Y
678,9115X
679,8409X
680,8416X
681,9121X
682,9012E
683,8458X
684,9073X
685,8503Y
686,8486X
687,9031C
688,9016X
689,8520X
690,8472A
691,9069C
692,9060X
693,8439X
694,9145Y
695,9207
696,9228J
697,9171K
698,9228T
699,9141V
700,9257X
701,9252X
702,9211F
703,9178X
704,9145X
705,9238X
706,9122I
707,9302Y
708,9280B
709,9427X
710,9374X
711,9299X
712,9436X
713,9336D
714,9262P
715,9287A
716,9321X
717,9354X
718,9352A
719,9274X
720,9453X
721,9301X
722,9344C
723,9377Y
724,9510X
725,9491X
726,9657X
727,9501X
728,9590
729,9638D
730,9531Y
731,9495Y
732,9647X
733,9550C
734,9632X
735,9660
736,9546B
737,9460X
738,9561X
739,9650X
740,9513X
741,9808X
742,9775X
743,9772X
744,9689X
745,9843A
746,9707
747,9726E
748,9744B
749,9838B
750,9724X
751,9756X
752,9729X
753,9751
754,9718X
755,9947X
756,9908X
757,9911X
758,9994X
759,9924X
760,9961X
761,9998X
762,9894Y
763,9901X
764,9866C
765,9855E
766,9935X
767,9946X
768,9975X
769,9995Y
770,9918Y
771,C449C
772,C919K
773,0201X
774,0201D
775,6381
776,C668V
777,2311Y
778,9283X
779,5051X
780,C659H
781,2276B
782,2290Y
783,3266A
784,8050X
785,B398A
786,9569A
787,1735X
788,1473A
789,3110C
790,5181D
791,6268X
792,7067Y
793,4061X
794,4090Y
795,0171X
796,3209Y
797,9208E
798,9245X
799,9244X
800,9136X
