,name,latitude,longitude,country,state
0,SANTA SUSANNA,41.6357256,2.7065933,ES,Catalonia
1,LA RODA DE ANDALUCÍA,37.2003677,-4.7772857,ES,Andalusia
2,TARANCÓN,40.0086075,-3.0102243,ES,Castile-La Mancha
3,CALATAYUD,41.3527628,-1.6422977,ES,Aragon
4,PORTOCOLOM,39.4260949,3.2647278,ES,Balearic Islands
5,XÀTIVA,38.9880745,-0.5199747,ES,Valencian Community
6,BENAVENTE,42.0032862,-5.6738595,ES,Castile and León
7,AUTILLA DEL PINO,41.9911815,-4.6334702,ES,Castile and León
8,PUERTO DE NAVACERRADA,40.7862894,-4.0026634,ES,Community of Madrid
9,REINOSA,43.0010076,-4.1378363,ES,Cantabria
10,BAZA,37.4888637,-2.7709805,ES,Andalusia
11,CASTELLFORT,40.5013525,-0.1902038,ES,Valencian Community
12,DON BENITO,38.9540269,-5.8619466,ES,Extremadura
13,ROQUETAS DE MAR,36.7630203,-2.6115886,ES,Andalusia
14,CAZORLA,37.9128927,-3.0038873,ES,Andalusia
15,SAN FERNANDO,36.4643934,-6.198203,ES,Andalusia
16,CERVERA DE PISUERGA,42.8635509,-4.4972234,ES,Castile and León
17,TOLEDO,39.8560679,-4.0239568,ES,Castile-La Mancha
18,MEDINA DE POMAR,42.9322092,-3.4861165,ES,Castile and León
19,TORREJÓN DE ARDOZ,40.4587767,-3.4793343,ES,Community of Madrid
20,TARIFA,36.0129082,-5.6050213,ES,Andalusia
21,FUENGIROLA,36.5387779,-4.6233348,ES,Andalusia
22,SANTA ELENA,38.3402349,-3.5398078,ES,Andalusia
23,LLANES,43.4211205,-4.7530835,ES,Asturias
24,TÀRREGA,41.6472761,1.1409115,ES,Catalonia
25,MURCIA,37.9923795,-1.1305431,ES,Region of Murcia
26,LLEIDA,41.6147605,0.6267842,ES,Catalonia
27,MADRIDEJOS,39.4697204,-3.5353737,ES,Castile-La Mancha
28,TALAVERA DE LA REINA,39.9603798,-4.8311717,ES,Castile-La Mancha
29,MANRESA,41.7288939,1.8286765,ES,Catalonia
30,BIELSA,42.6335545,0.2188591,ES,Aragon
31,TRUJILLO,39.4605657,-5.8816626,ES,Extremadura
32,ÉCIJA,37.5406007,-5.079589,ES,Andalusia
33,PUERTO DE LA CRUZ,28.4159024,-16.5532956,ES,Canary Islands
34,VEJER DE LA FRONTERA,36.251937,-5.9670492,ES,Andalusia
35,TEGUISE,29.0592518,-13.5602184,ES,Canary Islands
36,HELLÍN,38.5106649,-1.6995137,ES,Castile-La Mancha
37,ARENYS DE MAR,41.5797031,2.5491562,ES,Catalonia
38,PAMPLONA,42.8182536,-1.6440304,ES,Navarre
39,DOÑA MENCÍA,37.5545719,-4.3573672,ES,Andalusia
40,A POBRA DE TRIVES,42.3405898,-7.2547833,ES,Galicia
41,O CARBALLIÑO,42.4300046,-8.0780481,ES,Galicia
42,PALACIOS DE LA SIERRA,41.9639356,-3.1282384,ES,Castile and León
43,DAROCA,41.1133264,-1.4170637,ES,Aragon
44,CARAVACA DE LA CRUZ,38.1046979,-1.861118,ES,Region of Murcia
45,PUEBLA DE DON RODRIGO,39.0823124,-4.6168415,ES,Castile-La Mancha
46,VILLARRODRIGO,38.4872582,-2.6363672,ES,Andalusia
47,JACA,42.5692515,-0.549372,ES,Aragon
48,OLIVA,38.9202443,-0.1208981,ES,Valencian Community
49,SANTANDER,43.4620412,-3.8099719,ES,Cantabria
50,SOMOSIERRA,41.133207,-3.581478,ES,Community of Madrid
51,ESTEPONA,36.4268068,-5.1468484,ES,Andalusia
52,RIPOLL,42.1982391,2.1932496,ES,Catalonia
53,POLINYÀ DE XÚQUER,39.1957935,-0.3698201,ES,Valencian Community
54,VISO DEL MARQUÉS,38.5217338,-3.5627159,ES,Castile-La Mancha
55,SAN VICENTE DE LA BARQUERA,43.38318,-4.40027,ES,Cantabria
