provincia_id,provincia
1,BARCELONA
2,SEVILLA
3,CUENCA
4,ZARAGOZA
5,ILLES BALEARS
6,VALENCIA
7,ZAMORA
8,PALENCIA
9,CASTELLON
10,LAS PALMAS
11,MADRID
12,CANTABRIA
13,GRANADA
14,BADAJOZ
15,A CORUÑA
16,ASTURIAS
17,TARRAGONA
18,STA. CRUZ DE TENERIFE
19,ALMERIA
20,JAEN
21,CADIZ
22,TOLEDO
23,BURGOS
24,GIRONA
25,MALAGA
26,LLEIDA
27,MURCIA
28,HUESCA
29,CACERES
30,ALBACETE
31,NAVARRA
32,CORDOBA
33,OURENSE
34,CIUDAD REAL
35,GIPUZKOA
36,MELILLA
37,LEON
38,SALAMANCA
39,HUELVA
40,LA RIOJA
41,BIZKAIA
42,GUADALAJARA
43,VALLADOLID
44,AVILA
45,ARABA/ALAVA
46,PONTEVEDRA
47,ALICANTE
48,SEGOVIA
49,TERUEL
50,SORIA
51,CEUTA
52,LUGO
53,BALEARES
